locus	gene
56	ENSG00000265485
56	ENSG00000266489
56	ENSG00000198795
56	ENSG00000141380
57	ENSG00000187323
57	ENSG00000101751
57	ENSG00000166845
57	ENSG00000041353
57	ENSG00000267524
58	ENSG00000173418
58	ENSG00000264879
58	ENSG00000188559
58	ENSG00000234104
58	ENSG00000283405
58	ENSG00000225127
58	ENSG00000088970
58	ENSG00000088930
58	ENSG00000278041
59	ENSG00000264879
59	ENSG00000188559
59	ENSG00000234104
59	ENSG00000283405
59	ENSG00000225127
59	ENSG00000088970
59	ENSG00000088930
59	ENSG00000278041
6	ENSG00000117519
6	ENSG00000235501
6	ENSG00000152078
6	ENSG00000231992
6	ENSG00000226026
6	ENSG00000122481
6	ENSG00000228502
6	ENSG00000117569
6	ENSG00000232542
6	ENSG00000285922
60	ENSG00000264879
60	ENSG00000188559
60	ENSG00000234104
60	ENSG00000283405
60	ENSG00000225127
60	ENSG00000088970
60	ENSG00000088930
60	ENSG00000278041
61	ENSG00000234646
61	ENSG00000178726
61	ENSG00000230387
61	ENSG00000277901
61	ENSG00000234832
61	ENSG00000232645
61	ENSG00000125812
61	ENSG00000125814
61	ENSG00000270001
61	ENSG00000101439
61	ENSG00000230133
61	ENSG00000101463
61	ENSG00000101474
61	ENSG00000100987
61	ENSG00000197586
61	ENSG00000202414
61	ENSG00000277938
61	ENSG00000276952
61	ENSG00000100997
61	ENSG00000175170
7	ENSG00000117519
7	ENSG00000235501
7	ENSG00000152078
7	ENSG00000231992
7	ENSG00000226026
7	ENSG00000122481
7	ENSG00000228502
7	ENSG00000117569
7	ENSG00000232542
7	ENSG00000285922
8	ENSG00000228502
8	ENSG00000285922
8	ENSG00000226053
8	ENSG00000162627
8	ENSG00000232825
8	ENSG00000117598
8	ENSG00000212248
9	ENSG00000132196
9	ENSG00000143248
9	ENSG00000232995
9	ENSG00000185630
9	ENSG00000207082
9	ENSG00000269887
9	ENSG00000212086
