locus	gene
59	ENSG00000089101.18
59	ENSG00000173404.5
59	ENSG00000188559.15
59	ENSG00000088970.16
59	ENSG00000088930.8
59	ENSG00000125816.5
59	ENSG00000125820.6
6	ENSG00000152078.10
6	ENSG00000122481.17
6	ENSG00000117569.18
60	ENSG00000089101.18
60	ENSG00000173404.5
60	ENSG00000188559.15
60	ENSG00000088970.16
60	ENSG00000088930.8
60	ENSG00000125816.5
60	ENSG00000125820.6
61	ENSG00000178726.6
61	ENSG00000125810.10
61	ENSG00000132661.4
61	ENSG00000125812.16
61	ENSG00000125814.17
61	ENSG00000125823.12
61	ENSG00000125815.9
61	ENSG00000101435.5
61	ENSG00000101439.9
61	ENSG00000101441.4
61	ENSG00000170373.8
61	ENSG00000101463.6
61	ENSG00000077984.6
61	ENSG00000101474.12
61	ENSG00000154930.15
61	ENSG00000100987.14
61	ENSG00000197586.13
61	ENSG00000100994.12
61	ENSG00000100997.20
61	ENSG00000101003.10
61	ENSG00000101004.15
61	ENSG00000170191.5
61	ENSG00000130684.14
7	ENSG00000152078.10
7	ENSG00000122481.17
7	ENSG00000117569.18
8	ENSG00000117569.18
8	ENSG00000162627.17
8	ENSG00000117598.13
8	ENSG00000117600.12
9	ENSG00000198574.6
9	ENSG00000162733.19
9	ENSG00000132196.14
9	ENSG00000185860.13
9	ENSG00000117152.13
9	ENSG00000143228.13
9	ENSG00000143248.13
9	ENSG00000185630.18
